seq_len,coverage_ratio,mean_abs_diff
1024,0.071428571,0.072750889
1024,0.083333333,0.056178473
1024,0.14285714285714285,0.062801488
1024,0.16666666666666666,0.04935518279671669
1024,0.21428571428571427,0.056178473
1024,0.25,0.043336678
1024,0.2857142857142857,0.050129421055316925
1024,0.3333333333333333,0.038244553
1024,0.42857142857142855,0.038244553
1024,0.5,0.028361912816762924
1024,0.6666666666666666,0.015856746584177017
1024,0.7142857142857143,0.015856746584177017
1024,1.0,0.0
2048,0.033333333,0.051156793
2048,0.035714286,0.047495715
2048,0.066666667,0.048982672
2048,0.071428571,0.046430692076683044
2048,0.1,0.047495715
2048,0.10714285714285714,0.045120072
2048,0.13333333333333333,0.046430692076683044
2048,0.14285714285714285,0.043847952
2048,0.2,0.043847952
2048,0.21428571428571427,0.039103128015995026
2048,0.2857142857142857,0.036251646
2048,0.3333333333333333,0.036251646
2048,0.42857142857142855,0.033087544
4096,0.03225806451612903,0.04120797663927078
4096,0.03333333333333333,0.03869112581014633
4096,0.06451612903225806,0.03869112581014633
4096,0.06666666666666667,0.03656751289963722
4096,0.0967741935483871,0.03656751289963722
4096,0.1,0.03564123436808586
4096,0.13333333333333333,0.03430263698101044
4096,0.16129032258064516,0.03430263698101044
4096,0.2,0.03242418169975281
