seq_len,working_ratio,mean_abs_diff
1024,0.1875,0.072750889
1024,0.25,0.062801488
1024,0.3125,0.056178473
1024,0.375,0.0496132622162501
1024,0.4375,0.043336678
1024,0.5,0.038244553
1024,0.625,0.028361912816762924
1024,0.75,0.015856746584177017
1024,1.0,0.0
2048,0.09375,0.051156793
2048,0.125,0.048982672
2048,0.15625,0.047495715
2048,0.1875,0.046430692076683044
2048,0.21875,0.045120072
2048,0.25,0.043847952
2048,0.3125,0.039103128015995026
2048,0.375,0.036251646
2048,0.5,0.033087544
4096,0.0625,0.04120797663927078
4096,0.09375,0.03869112581014633
4096,0.125,0.03656751289963722
4096,0.15625,0.03564123436808586
4096,0.1875,0.03430263698101044
4096,0.25,0.03242418169975281
